Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
into,2000,0.001043,0.007162
crowd,310,0.000162,0.001412
seems,549,0.000286,0.002336
fall,174,0.000091,0.000845
jumped,103,0.000054,0.000528
tape,279,0.000146,0.001286
take,1332,0.000695,0.005052
falls,35,0.000018,0.000199
looks,964,0.000503,0.003819
falling,66,0.000034,0.000354
trying,1242,0.000648,0.004756
elmo,5,0.000003,0.000034
rolling,82,0.000043,0.000430
stones,24,0.000013,0.000141
again,874,0.000456,0.003507
touring,23,0.000012,0.000136
age,153,0.000080,0.000753
wondering,62,0.000032,0.000334
aimlessly,3,0.000002,0.000021
opening,193,0.000101,0.000927
bumper,37,0.000019,0.000210
sticker,36,0.000019,0.000204
car,471,0.000246,0.002042
smarter,41,0.000021,0.000230
sonny,28,0.000015,0.000163
hollywood,200,0.000104,0.000956
insiders,51,0.000027,0.000280
biggest,290,0.000151,0.001331
movies,94,0.000049,0.000487
expected,176,0.000092,0.000853
sequel,30,0.000016,0.000173
alone,105,0.000055,0.000537
huge,548,0.000286,0.002332
ones,201,0.000105,0.000961
bit,249,0.000130,0.001162
different,380,0.000198,0.001690
folks,595,0.000310,0.002507
carolina,189,0.000099,0.000909
waiter,8,0.000004,0.000052
arrested,408,0.000213,0.001799
leaving,223,0.000116,0.001054
threatening,79,0.000041,0.000416
note,112,0.000058,0.000569
carry,86,0.000045,0.000449
food,249,0.000130,0.001162
democrats,843,0.000440,0.003399
accepted,56,0.000029,0.000305
millions,186,0.000097,0.000897
dollars,279,0.000146,0.001286
donations,42,0.000022,0.000235
contributions,30,0.000016,0.000173
asians,7,0.000004,0.000046
old,1101,0.000574,0.004286
days,1011,0.000527,0.003980
youve,315,0.000164,0.001432
yet,336,0.000175,0.001516
confirmed,70,0.000037,0.000373
nude,89,0.000046,0.000463
within,63,0.000033,0.000339
walking,176,0.000092,0.000853
distance,55,0.000029,0.000300
could,2279,0.001189,0.008006
virgin,32,0.000017,0.000184
islands,24,0.000013,0.000141
go,2445,0.001275,0.008499
jokes,114,0.000059,0.000579
sandwich,47,0.000025,0.000260
great,1325,0.000691,0.005029
listen,593,0.000309,0.002500
making,673,0.000351,0.002792
sounds,348,0.000182,0.001564
staying,87,0.000045,0.000454
doors,39,0.000020,0.000220
ordered,138,0.000072,0.000687
flights,46,0.000024,0.000255
pictures,153,0.000080,0.000753
spies,29,0.000015,0.000168
disney,65,0.000034,0.000349
pirates,60,0.000031,0.000325
caribbean,23,0.000012,0.000136
chasing,23,0.000012,0.000136
coincidentally,78,0.000041,0.000411
preparing,64,0.000033,0.000344
inauguration,161,0.000084,0.000788
address,341,0.000178,0.001536
working,561,0.000293,0.002381
hard,568,0.000296,0.002407
thinking,790,0.000412,0.003212
few,371,0.000194,0.001655
empty,65,0.000034,0.000349
promises,59,0.000031,0.000320
boom,48,0.000025,0.000265
business,543,0.000283,0.002314
changing,96,0.000050,0.000496
amazing,512,0.000267,0.002197
starting,425,0.000222,0.001865
heavier,3,0.000002,0.000021
turned,494,0.000258,0.002129
pockets,25,0.000013,0.000147
full,283,0.000148,0.001302
sad,241,0.000126,0.001129
dick,1389,0.000725,0.005238
morris,19,0.000010,0.000114
adviser,120,0.000063,0.000606
barking,9,0.000005,0.000058
fours,5,0.000003,0.000034
liked,89,0.000046,0.000463
sex,955,0.000498,0.003788
prostitute,49,0.000026,0.000270
announced,1810,0.000944,0.006576
divorcing,7,0.000004,0.000046
wonder,180,0.000094,0.000871
goes,564,0.000294,0.002392
divorce,97,0.000051,0.000500
gonna,687,0.000358,0.002843
pay,537,0.000280,0.002291
hooker,43,0.000022,0.000240
grounds,25,0.000013,0.000147
puppy,44,0.000023,0.000245
likes,217,0.000113,0.001028
disneyland,24,0.000013,0.000141
closed,128,0.000067,0.000642
ride,110,0.000057,0.000560
exhibit,17,0.000009,0.000103
spokesman,127,0.000066,0.000637
update,45,0.000023,0.000250
hall,144,0.000075,0.000713
d,13,0.000007,0.000081
c,12,0.000006,0.000075
anywhere,57,0.000030,0.000310
although,294,0.000153,0.001347
change,405,0.000211,0.001788
already,844,0.000440,0.003402
planning,242,0.000126,0.001133
gala,15,0.000008,0.000092
celebration,67,0.000035,0.000359
bits,4,0.000002,0.000027
entertainment,54,0.000028,0.000295
theyll,253,0.000132,0.001179
york,2046,0.001067,0.007303
city,1109,0.000578,0.004312
bring,400,0.000209,0.001768
da,14,0.000007,0.000086
funk,7,0.000004,0.000046
treat,33,0.000017,0.000189
waiting,200,0.000104,0.000956
someone,582,0.000304,0.002459
newt,566,0.000295,0.002400
gingrich,426,0.000222,0.001869
speaker,215,0.000112,0.001020
experts,409,0.000213,0.001803
interesting,654,0.000341,0.002723
even,2117,0.001104,0.007518
challenged,34,0.000018,0.000194
leader,420,0.000219,0.001846
respected,19,0.000010,0.000114
finally,854,0.000445,0.003437
found,889,0.000464,0.003560
common,130,0.000068,0.000651
ground,133,0.000069,0.000664
victory,150,0.000078,0.000740
apologized,131,0.000068,0.000655
confrontational,3,0.000002,0.000021
pushy,7,0.000004,0.000046
points,223,0.000116,0.001054
inappropriate,43,0.000022,0.000240
perfect,154,0.000080,0.000757
presidents,496,0.000259,0.002137
move,318,0.000166,0.001444
paper,251,0.000131,0.001171
offering,84,0.000044,0.000440
commemorative,6,0.000003,0.000040
collectors,5,0.000003,0.000034
plates,11,0.000006,0.000069
celebrate,114,0.000059,0.000579
